F,Selena,1296,6.9124e-4
F,June,1288,6.8697e-4
F,Daleyza,1285,6.8537e-4
F,Tessa,1283,6.843e-4
F,Maggie,1278,6.8164e-4
F,Jessica,1271,6.779e-4
F,Remi,1262,6.731e-4
F,Delaney,1259,6.715e-4
F,Camille,1256,6.699e-4
F,Vivienne,1255,6.6937e-4
F,Hope,1250,6.667e-4
F,Mckenna,1247,6.651e-4
F,Gemma,1241,6.619e-4
F,Olive,1241,6.619e-4
F,Alexandria,1238,6.603e-4
F,Blakely,1226,6.539e-4
F,Izabella,1220,6.507e-4
F,Catalina,1218,6.4963e-4
F,Raegan,1213,6.4697e-4
F,Journee,1212,6.4643e-4
F,Gabrielle,1210,6.4537e-4
F,Lucille,1197,6.3843e-4
F,Ruth,1194,6.3683e-4
F,Amiyah,1189,6.3417e-4
F,Evangeline,1186,6.3257e-4
F,Blake,1182,6.3043e-4
F,Thea,1180,6.2937e-4
F,Amina,1170,6.2403e-4
F,Giselle,1170,6.2403e-4
F,Lilah,1168,6.2297e-4
F,Melissa,1168,6.2297e-4
F,River,1166,6.219e-4
F,Kate,1162,6.1977e-4
F,Adelaide,1155,6.1603e-4
F,Charlee,1154,6.155e-4
F,Vera,1153,6.1497e-4
F,Leia,1151,6.139e-4
F,Gabriela,1149,6.1283e-4
F,Zara,1149,6.1283e-4
F,Jane,1148,6.123e-4
F,Journey,1148,6.123e-4
F,Elaina,1137,6.0643e-4
F,Miriam,1134,6.0483e-4
F,Briella,1129,6.0217e-4
F,Stephanie,1126,6.0057e-4
F,Cali,1122,5.9843e-4
F,Ember,1111,0.00059257000000000005
F,Lilliana,1108,5.9097e-4
F,Aniyah,1107,5.9043e-4
F,Logan,1103,5.883e-4
F,Kamila,1100,5.867e-4
F,Brynn,1091,5.819e-4
F,Ariella,1090,5.8136e-4
F,Makenzie,1088,5.803e-4
F,Annie,1087,5.7976e-4
F,Mariana,1084,5.7816e-4
F,Kali,1083,5.7763e-4
F,Haven,1080,5.7603e-4
F,Elsie,1077,5.7443e-4
F,Nyla,1076,5.739e-4
F,Paris,1076,5.739e-4
F,Lena,1072,5.7176e-4
F,Freya,1069,5.7016e-4
F,Adelynn,1063,5.6696e-4
F,Lyric,1057,5.6376e-4
F,Camilla,1047,5.5843e-4
F,Sage,1043,5.563e-4
F,Jennifer,1042,5.5576e-4
F,Paislee,1041,5.5523e-4
F,Talia,1040,5.547e-4
F,Alessandra,1034,5.515e-4
F,Juniper,1033,5.5096e-4
F,Fatima,1031,5.499e-4
F,Raelyn,1019,5.435e-4
F,Amira,1014,5.4083e-4
F,Arielle,1013,5.403e-4
F,Phoebe,1012,5.3976e-4
F,Kinley,1010,5.387e-4
F,Ada,1009,5.3816e-4
F,Nina,1009,5.3816e-4
F,Ariah,1005,5.3603e-4
F,Samara,1002,5.3443e-4
F,Myla,997,5.3176e-4
F,Brinley,996,5.3123e-4
F,Cassidy,995,5.307e-4
F,Maci,995,5.307e-4
F,Aspen,990,5.2803e-4
F,Allie,987,5.2643e-4
F,Keira,984,5.2483e-4
F,Kaia,978,5.2163e-4
F,Makenna,971,5.1789e-4
F,Amanda,954,5.0883e-4
F,Heaven,954,5.0883e-4
F,Joy,954,5.0883e-4
F,Lia,948,5.0563e-4
F,Madilyn,946,5.0456e-4
F,Gracelyn,942,5.0243e-4
F,Laura,939,5.0083e-4
F,Evelynn,938,5.0029e-4
F,Lexi,938,5.0029e-4
F,Haley,937,4.9976e-4
F,Miranda,934,4.9816e-4
F,Kaitlyn,929,4.9549e-4
F,Daniella,927,4.9443e-4
F,Felicity,926,4.9389e-4
F,Jacqueline,920,4.9069e-4
F,Evie,919,4.9016e-4
F,Angel,917,4.8909e-4
F,Danielle,906,4.8323e-4
F,Ainsley,898,4.7896e-4
F,Dylan,890,4.7469e-4
F,Kiara,885,4.7203e-4
F,Millie,885,4.7203e-4
F,Jordan,882,4.7043e-4
F,Maddison,875,4.6669e-4
F,Rylie,875,4.6669e-4
F,Alicia,861,4.5922e-4
F,Maeve,860,4.5869e-4
F,Margot,854,4.5549e-4
F,Kylee,853,4.5496e-4
F,Phoenix,852,4.5442e-4
F,Heidi,850,4.5336e-4
F,Zuri,847,4.5176e-4
F,Alondra,844,4.5016e-4
F,Lana,842,4.4909e-4
F,Madeleine,841,4.4856e-4
F,Gracelynn,835,4.4536e-4
F,Kenzie,835,4.4536e-4
F,Miracle,831,4.4322e-4
F,Shelby,831,4.4322e-4
F,Elle,828,4.4162e-4
F,Adrianna,827,4.4109e-4
F,Bianca,827,4.4109e-4
F,Addilyn,821,4.3789e-4
F,Kira,817,4.3576e-4
F,Veronica,817,4.3576e-4
F,Gwendolyn,816,4.3522e-4
F,Esmeralda,815,4.3469e-4
F,Chelsea,813,4.3362e-4
F,Alison,812,4.3309e-4
F,Skyler,812,4.3309e-4
F,Magnolia,808,4.3096e-4
F,Daphne,807,4.3042e-4
F,Jenna,804,4.2882e-4
F,Everleigh,803,4.2829e-4
F,Kyla,802,4.2776e-4
F,Braelynn,795,4.2402e-4
F,Harlow,794,4.2349e-4
F,Annalise,792,4.2242e-4
F,Mikayla,792,4.2242e-4
F,Dahlia,790,4.2136e-4
F,Maliyah,786,4.1922e-4
F,Averie,784,4.1816e-4
F,Scarlet,783,4.1762e-4
F,Kayleigh,782,4.1709e-4
F,Luciana,782,4.1709e-4
F,Kelsey,780,4.1602e-4
F,Nadia,777,4.1442e-4
F,Amber,776,4.1389e-4
F,Gia,776,4.1389e-4
F,Kamryn,774,4.1282e-4
F,Yaretzi,773,4.1229e-4
F,Carmen,772,4.1176e-4
F,Jimena,772,4.1176e-4
F,Erin,771,4.1122e-4
F,Christina,770,4.1069e-4
F,Katie,770,4.1069e-4
F,Ryan,770,4.1069e-4
F,Viviana,769,4.1016e-4
F,Alexia,768,4.0962e-4
F,Anaya,764,4.0749e-4
F,Serena,761,4.0589e-4
F,Katelyn,760,4.0536e-4
F,Ophelia,760,4.0536e-4
F,Regina,759,4.0482e-4
F,Helen,758,4.0429e-4
F,Remington,754,4.0215e-4
F,Camryn,752,4.0109e-4
F,Cadence,747,3.9842e-4
F,Royalty,747,3.9842e-4
F,Amari,745,3.9735e-4
F,Kathryn,744,3.9682e-4
F,Skye,744,3.9682e-4
F,Emely,743,3.9629e-4
F,Jada,743,3.9629e-4
F,Ariyah,740,3.9469e-4
F,Aylin,737,3.9309e-4
F,Saylor,735,3.9202e-4
F,Kendra,734,3.9149e-4
F,Cheyenne,733,3.9095e-4
F,Fernanda,732,3.9042e-4
F,Sabrina,732,3.9042e-4
F,Francesca,730,3.8935e-4
F,Eve,727,3.8775e-4
F,Mckinley,724,3.8615e-4
F,Frances,723,3.8562e-4
F,Sarai,717,3.8242e-4
F,Carolina,715,3.8135e-4
F,Kennedi,713,3.8029e-4
F,Nylah,711,3.7922e-4
F,Tatum,710,3.7869e-4
F,Alani,705,3.7602e-4
F,Lennon,705,3.7602e-4
F,Raven,703,3.7495e-4
F,Zariah,703,3.7495e-4
F,Leslie,701,3.7389e-4
F,Winter,699,3.7282e-4
F,Abby,696,3.7122e-4
F,Mabel,696,3.7122e-4
F,Sierra,696,3.7122e-4
F,April,691,3.6855e-4
F,Willa,691,3.6855e-4
F,Carly,687,3.6642e-4
F,Jolene,687,3.6642e-4
F,Rosemary,687,3.6642e-4
F,Aviana,686,3.6589e-4
F,Madelynn,685,3.6535e-4
F,Selah,684,3.6482e-4
F,Renata,682,3.6375e-4
F,Lorelei,680,3.6269e-4
F,Briana,676,3.6055e-4
F,Celeste,671,3.5789e-4
F,Wren,668,3.5629e-4
F,Charleigh,667,3.5575e-4
F,Leighton,665,3.5469e-4
F,Annabella,663,3.5362e-4
F,Jayleen,662,3.5309e-4
F,Braelyn,661,3.5255e-4
F,Ashlyn,659,3.5149e-4
F,Jazlyn,659,3.5149e-4
F,Mira,659,3.5149e-4
F,Oakley,653,3.4829e-4
F,Malaysia,652,3.4775e-4
F,Edith,649,3.4615e-4
F,Avianna,646,3.4455e-4
F,Maryam,645,3.4402e-4
F,Emmalyn,644,3.4349e-4
F,Hattie,643,3.4295e-4
F,Kensley,643,3.4295e-4
F,Macie,640,3.4135e-4
F,Bristol,638,3.4028e-4
F,Marlee,638,3.4028e-4
F,Demi,637,3.3975e-4
F,Cataleya,636,3.3922e-4
F,Maia,636,3.3922e-4
F,Sylvia,636,3.3922e-4
F,Itzel,635,3.3868e-4
F,Allyson,634,3.3815e-4
F,Lilith,633,3.3762e-4
F,Melany,632,3.3708e-4
F,Kaydence,630,3.3602e-4
F,Holly,629,3.3548e-4
F,Nayeli,628,3.3495e-4
F,Meredith,626,3.3388e-4
F,Nia,626,3.3388e-4
F,Liana,625,3.3335e-4
F,Megan,624,3.3282e-4
F,Justice,621,3.3122e-4
F,Bethany,618,3.2962e-4
F,Alejandra,617,3.2908e-4
F,Janelle,617,3.2908e-4
F,Elisa,615,3.2802e-4
F,Adelina,614,3.2748e-4
F,Ashlynn,614,3.2748e-4
F,Elianna,614,3.2748e-4
F,Aleah,612,3.2642e-4
F,Myra,612,3.2642e-4
F,Lainey,610,3.2535e-4
F,Blair,609,3.2482e-4
F,Kassidy,609,3.2482e-4
F,Charley,608,3.2428e-4
F,Virginia,608,3.2428e-4
F,Kara,606,3.2322e-4
F,Helena,600,3.2002e-4
F,Sasha,600,3.2002e-4
F,Julie,599,3.1948e-4
F,Michaela,599,3.1948e-4
F,Carter,598,3.1895e-4
F,Matilda,597,3.1842e-4
F,Kehlani,596,3.1788e-4
F,Henley,594,3.1682e-4
F,Maisie,594,3.1682e-4
F,Hallie,592,3.1575e-4
F,Jazmin,588,3.1362e-4
F,Priscilla,587,3.1308e-4
F,Marilyn,580,3.0935e-4
F,Cecelia,579,3.0882e-4
F,Danna,579,3.0882e-4
F,Colette,578,3.0828e-4
F,Baylee,577,3.0775e-4
F,Elliott,575,3.0668e-4
F,Ivanna,575,3.0668e-4
F,Cameron,574,3.0615e-4
F,Celine,574,3.0615e-4
F,Alayah,573,3.0562e-4
F,Hanna,572,3.0508e-4
F,Imani,572,3.0508e-4
F,Angelica,570,3.0402e-4
F,Emelia,565,3.0135e-4
F,Kalani,565,3.0135e-4
F,Alanna,563,3.0028e-4
F,Lorelai,563,3.0028e-4
F,Macy,563,3.0028e-4
F,Karina,562,2.9975e-4
F,Addyson,561,2.9922e-4
F,Aleena,561,2.9922e-4
F,Aisha,559,2.9815e-4
F,Johanna,559,2.9815e-4
F,Mallory,556,2.9655e-4
F,Leona,555,2.9602e-4
F,Mariam,554,2.9548e-4
F,Kynlee,553,2.9495e-4
F,Madilynn,553,2.9495e-4
F,Karen,552,2.9442e-4
F,Karla,552,2.9442e-4
F,Skyla,547,2.9175e-4
F,Beatrice,544,2.9015e-4
F,Dayana,543,2.8962e-4
F,Gloria,538,2.8695e-4
F,Milani,536,2.8588e-4
F,Savanna,534,2.8482e-4
F,Karsyn,533,2.8428e-4
F,Rory,532,2.8375e-4
F,Giuliana,530,2.8268e-4
F,Lauryn,530,2.8268e-4
F,Liberty,528,2.8162e-4
F,Galilea,527,2.8108e-4
F,Aubrie,526,2.8055e-4
F,Charli,526,2.8055e-4
F,Kyleigh,524,2.7948e-4
F,Brylee,523,2.7895e-4
F,Jillian,523,2.7895e-4
F,Anne,522,2.7841e-4
F,Haylee,520,2.7735e-4
F,Dallas,519,2.7681e-4
F,Azalea,518,2.7628e-4
F,Jayda,518,2.7628e-4
F,Tiffany,516,2.7521e-4
F,Avah,514,2.7415e-4
